Type,Security,Price,Time,DayMovingAverage
Buy,BMRA,9.9846,30:46.0,10.61493117
Buy,MRK,79.32,30:46.2,79.54255421
Buy,PG,125.56,30:46.4,125.8731475
Buy,INTC,60.92,30:46.7,61.12529345
Buy,MSFT,209.225,30:46.9,210.893618
Buy,WMT,132.59,30:47.1,132.7251592
Buy,MCD,193.33,30:47.3,193.9894993
Buy,JNJ,149.98,30:47.5,150.4728885
Sell,WMT,132.74,31:50.5,132.7251592
Buy,NTRS,79.65,31:50.7,79.73881495
Buy,V,197.1,31:50.9,197.4810986
Buy,WMT,132.4819,32:52.5,132.7251592
Sell,NTRS,80.19,32:52.7,79.73881495
Sell,V,197.7366,33:55.8,197.4810986
Buy,AAPL,389.41,33:56.1,391.5800677
Buy,IBM,126.4233,33:56.3,128.5223978
Sell,MRK,79.63,34:57.8,79.54255421
Sell,MCD,194.6,34:58.0,193.9894993
Buy,V,197.47,34:58.2,197.4810986
Sell,INTC,61.19,36:01.2,61.12529345
Buy,MMM,158.48,36:01.7,158.7853935
Sell,BMRA,10.88,38:07.1,10.61493117
Sell,V,197.535,38:07.5,197.4810986
Buy,WBA,40.56,38:07.9,40.68880112
Buy,BMRA,10.43,39:09.4,10.61493117
Buy,QLGN,5.675,40:12.9,5.751051009
Sell,QLGN,5.7601,42:16.7,5.751051009
Buy,MRK,79.48,43:18.3,79.54255421
Buy,PSTX,15.32,43:18.5,15.63431984
Sell,MRK,79.58,44:20.6,79.54255421
Buy,MRK,79.49,45:22.4,79.54255421
Sell,MMM,159.1,45:22.7,158.7853935
Buy,QLGN,5.75,53:33.7,5.751051009
Sell,IBM,128.555,53:33.9,128.5223978
Sell,MSFT,210.924,54:35.3,210.893618
Buy,IBM,128.4605,54:35.5,128.5223978
Sell,QLGN,5.805,56:38.3,5.751051009
Sell,IBM,128.6,56:38.6,128.5223978
Buy,MSFT,210.805,57:40.0,210.893618
Buy,JPM,99.26,57:40.3,99.28003213
Buy,KO,47.28,58:41.8,47.28375414
Buy,MMM,158.72,59:43.5,158.7853935
Sell,MMM,158.825,00:45.1,158.7853935
Sell,MSFT,210.96,01:46.8,210.893618
Buy,MMM,158.725,01:47.0,158.7853935
Buy,BWEN,5.2499,04:51.1,5.285715447
Buy,DOW,43.1,04:51.3,43.11648881
Sell,AAPL,391.77,05:53.0,391.5800677
Sell,DOW,43.15,05:53.3,43.11648881
Sell,BWEN,5.2899,06:54.8,5.285715447
Buy,QLGN,5.7338,07:56.2,5.751051009
Buy,AAPL,391.28,07:56.4,391.5800677
Buy,DOW,43.105,07:56.7,43.11648881
Sell,DOW,43.13,08:58.5,43.11648881
Buy,MSFT,210.88,10:00.2,210.893618
Sell,MMM,159,10:00.4,158.7853935
Sell,MSFT,210.92,11:02.1,210.893618
Buy,MSFT,210.88,12:03.5,210.893618
Sell,KO,47.288,14:07.0,47.28375414
Buy,ALDX,6.32,15:08.4,6.329813296
Buy,BWEN,5.28,16:09.9,5.285715447
Sell,ALDX,6.35,16:10.1,6.329813296
Sell,MSFT,210.9501,17:12.5,210.893618
Buy,NTRS,75.87,18:14.1,79.73881495
Buy,ALDX,6.29,18:14.4,6.329813296
Buy,MSFT,210.62,22:19.6,210.893618
Buy,IBM,128.415,23:21.1,128.5223978
Sell,ALDX,6.3399,23:21.4,6.329813296
Buy,ALDX,6.326,26:25.1,6.329813296
Buy,CHKP,124.14,27:26.5,124.4320791
Sell,ALDX,6.34,29:29.2,6.329813296
Sell,CHKP,124.61,31:32.1,124.4320791
Buy,ALDX,6.3116,31:32.3,6.329813296
Buy,CHKP,124.36,32:33.7,124.4320791
Sell,ALDX,6.34,36:39.6,6.329813296
Buy,ALDX,6.31,37:41.0,6.329813296
Sell,ALDX,6.33,38:42.9,6.329813296
Sell,IBM,128.555,39:44.2,128.5223978
Buy,BIIB,282.35,41:47.1,282.3546838
Buy,IBM,128.42,41:47.3,128.5223978
Buy,ALDX,6.3,41:47.6,6.329813296
Sell,IBM,128.55,42:48.9,128.5223978
Sell,BIIB,282.52,43:50.7,282.3546838
Buy,BIIB,282.115,44:52.1,282.3546838
Sell,BIIB,282.81,45:53.7,282.3546838
Buy,MMM,158.78,49:59.2,158.7853935
Buy,V,197.43,53:03.4,197.4810986
Sell,MMM,158.8598,53:03.6,158.7853935
Buy,MMM,158.75,54:05.1,158.7853935
Buy,WIMI,12.5,54:05.3,12.50849062
Sell,WIMI,12.55,55:06.7,12.50849062
Sell,MMM,158.79,56:08.1,158.7853935
Buy,MMM,158.68,57:09.4,158.7853935
Buy,INTC,61.095,58:10.8,61.12529345
Sell,V,197.49,58:11.0,197.4810986
Buy,V,197.41,59:12.4,197.4810986
Sell,MMM,158.89,59:12.6,158.7853935
Sell,ALDX,6.33,59:12.9,6.329813296
Buy,WRB,64.26,01:15.5,64.31729947
Sell,V,197.82,02:16.8,197.4810986
Buy,ALDX,6.32,04:19.9,6.329813296
Sell,INTC,61.14,05:21.3,61.12529345
Sell,ALDX,6.35,05:21.6,6.329813296
Buy,INTC,61.11,06:23.0,61.12529345
Buy,V,197.45,07:24.5,197.4810986
Buy,MMM,158.7801,07:24.7,158.7853935
Sell,CHKP,124.555,10:28.4,124.4320791
Buy,EVSI,13.3601,12:31.0,13.4194425
Sell,PSTX,15.75,14:34.2,15.63431984
Buy,PSTX,15.56,15:35.5,15.63431984
Sell,EVSI,13.495,17:38.3,13.4194425
Sell,V,197.52,24:48.2,197.4810986
Buy,EVSI,13.39,32:58.0,13.4194425
Sell,EVSI,13.57,33:59.3,13.4194425
Buy,EVSI,13.41,35:00.7,13.4194425
Sell,EVSI,13.46,36:02.2,13.4194425
Buy,CHKP,124.17,39:06.2,124.4320791
Sell,WRB,64.35,39:06.5,64.31729947
Buy,EVSI,13.4,42:10.4,13.4194425
Buy,VRNA,8.75,43:11.9,8.770082258
Buy,WRB,64.3,45:14.3,64.31729947
Sell,EVSI,13.45,46:15.7,13.4194425
Sell,VRNA,8.79,46:16.0,8.770082258
Sell,PSTX,15.69,48:19.2,15.63431984
Buy,VRNA,8.74,49:20.6,8.770082258
Buy,BKR,16.08,53:25.7,16.1218785
Sell,VRNA,8.7794,55:28.4,8.770082258
Buy,RTX,62.94,55:28.6,62.96226404
Sell,RTX,62.985,58:32.5,62.96226404
Buy,IBM,128.4501,59:34.0,128.5223978
Buy,PSTX,15.61,00:35.6,15.63431984
Sell,IBM,128.55,02:39.0,128.5223978
Sell,BKR,16.155,02:39.2,16.1218785
Buy,RTX,62.92,03:40.7,62.96226404
Buy,IBM,128.52,04:42.2,128.5223978
Sell,IBM,128.65,05:43.6,128.5223978
Buy,IBM,128.52,06:45.1,128.5223978
Sell,MSFT,210.8939,07:46.5,210.893618
Buy,NKE,98.25,08:47.9,98.25115743
Sell,NKE,98.25,09:49.3,98.25115743
Sell,IBM,128.56,13:54.6,128.5223978
Sell,WRB,64.35,15:57.0,64.31729947
Buy,EVSI,13.36,17:59.9,13.4194425
Buy,IBM,128.5108,18:00.1,128.5223978
Buy,WRB,64.3,18:00.4,64.31729947
Sell,EVSI,13.5492,19:01.8,13.4194425
Sell,IBM,128.57,24:07.7,128.5223978
