Type,Security,Price,Time,DayMovingAverage
Buy,MMM,154.15,2020-07-30 08:30:27.367007,156.18320025062675
Buy,INTC,48.105,2020-07-30 08:39:41.074350,48.383082541899405
Buy,JNJ,146.3,2020-07-30 09:05:15.721885,146.44938144578322
Buy,HBI,14.56,2020-07-30 09:20:37.106679,14.563533512195127
Buy,HD,264.96,2020-07-30 10:02:30.406088,265.41187745098046
Buy,KO,48.0001,2020-07-30 11:23:12.624432,48.10549509345794
Buy,WHLM,4.84,2020-07-30 11:24:13.958745,4.859639406779658
Buy,DIS,115.63,2020-07-30 11:55:54.470759,115.64214642857137
Buy,MCD,196.23,2020-07-30 12:17:21.353451,196.91554024096394
Buy,VZ,57.39,2020-07-30 12:22:27.604544,57.3914812195122
Buy,MSFT,203.64,2020-07-30 12:31:38.443780,203.69675094017094
Buy,NKE,96.77,2020-07-30 14:04:34.135355,96.88377481481493
Buy,KNDI,8.71,2020-07-30 14:07:38.013444,8.761083958333337
Sell,KNDI,9.0474,2020-07-30 14:19:53.043204,8.761083958333337
Buy,KNDI,8.7601,2020-07-30 14:34:10.283176,8.761083958333337
Sell,KNDI,9.11,2020-07-30 14:38:15.042507,8.761083958333337
Buy,KNDI,8.65,2020-07-30 14:44:23.267336,8.761083958333337
Sell,KNDI,8.942,2020-07-30 14:48:29.709364,8.761083958333337
Buy,KNDI,8.75,2020-07-30 14:57:43.154770,8.761083958333337
Sell,KNDI,8.71,2020-07-30 14:58:44.567568,8.761083958333337
Sell,JNJ,146.78,2020-07-30 14:58:44.833130,146.44938144578322
Sell,MMM,152.17,2020-07-30 14:58:45.067450,156.18320025062675
Sell,HBI,14.265,2020-07-30 14:58:45.333011,14.563533512195127
Sell,WHLM,4.7254,2020-07-30 14:58:45.551709,4.859639406779658
Sell,INTC,47.975,2020-07-30 14:58:45.801653,48.383082541899405
Sell,HD,266.3,2020-07-30 14:58:46.051581,265.41187745098046
Sell,KO,47.695,2020-07-30 14:58:46.285912,48.10549509345794
Sell,DIS,115.71,2020-07-30 14:58:46.504579,115.64214642857137
Sell,NKE,96.81,2020-07-30 14:58:46.707687,96.88377481481493
Sell,VZ,57.3,2020-07-30 14:58:46.926387,57.3914812195122
Sell,MCD,195.56,2020-07-30 14:58:47.145084,196.91554024096394
Sell,MSFT,203.83,2020-07-30 14:58:47.410646,203.69675094017094
